book,book pred proba,chap pred avg,chap pred proba avg,authenticity
1,0.9694999740937085,1.0,0.8831778621554036,1
2,0.9833911696987071,0.9130434782608695,0.8526250416093464,1
3,0.980553982974759,0.9629629629629629,0.8584800848092946,1
4,0.9814215251233567,0.96,0.8730642798196979,1
5,0.9853394721859567,0.9583333333333334,0.857191245232387,1
6,0.9861607592477208,0.92,0.8017282846217083,1
7,0.9654739148401464,0.9629629629629629,0.8141326657384012,1
8,0.9953325468085196,0.9090909090909091,0.7526838671383822,1
9,0.9163654328442864,0.9583333333333334,0.812487140886974,1
10,0.9506130715674654,0.9230769230769231,0.8380150889257933,1
11,0.9216062105243548,1.0,0.8507012083538319,1
12,0.9035904007886366,0.8518518518518519,0.7090659558997784,1
13,0.9135813125590259,0.9259259259259259,0.8399502801988277,1
14,0.3561140027141978,0.7777777777777778,0.6460282651698953,1
15,0.8604631808346991,0.8888888888888888,0.7014288927542359,1
16,0.7924494551247506,0.7307692307692307,0.67428959249115,1
17,0.4486545307897493,0.8666666666666667,0.7025511829607585,1
18,0.8438377040357878,0.7241379310344828,0.5921525896036449,1
19,0.9599205543578915,0.8571428571428571,0.7511452847611987,1
20,0.6541952701487541,0.8076923076923077,0.6859424601018544,1
21,0.7921283864568447,0.7857142857142857,0.7346161505103791,1
22,0.8496721665596089,0.6896551724137931,0.6353696764664586,1
23,0.7051013374929732,0.6451612903225806,0.6070541684495959,1
24,0.5859507155614745,0.5666666666666667,0.5820446309228768,1
25,0.6869968290395652,0.6666666666666666,0.6233482495812989,0
26,0.5149830607274782,0.4642857142857143,0.49584409043628774,1
27,0.04575123450220078,0.2857142857142857,0.36542479806711003,0
28,0.06790247252272191,0.25925925925925924,0.3472994205781934,0
29,0.6506680733305569,0.5,0.5036707266748348,0
30,0.37964550016277165,0.5,0.45798256530791903,0
31,0.06615469670951057,0.2962962962962963,0.3424606317447296,0
32,0.8436397361835496,0.6764705882352942,0.6695873967903636,1
33,0.09288123632083366,0.3333333333333333,0.3395805815602373,0
34,0.562055066204618,0.68,0.6137285754091697,0
35,0.1909087639855772,0.44,0.3992093108066434,0
36,0.007547685196134308,0.041666666666666664,0.22676639816509261,0
37,0.03209512816405578,0.18181818181818182,0.24725936799275106,0
38,0.05944130096368755,0.17857142857142858,0.24729943889465747,0
39,0.04318300718333139,0.22727272727272727,0.3114451994074779,0
40,0.21221643183348834,0.20833333333333334,0.2845959508230456,0
41,0.0004487718366481682,0.03571428571428571,0.11888953359523284,0
42,0.08246892560034265,0.4,0.38370791050531655,0
43,0.18137196825885496,0.3333333333333333,0.3407031348483253,0
44,0.001494461356824877,0.041666666666666664,0.21014890937655584,0
45,0.01084966317522434,0.13043478260869565,0.24064849386332438,0
46,0.02427700490852002,0.043478260869565216,0.12473189059790268,0
47,0.0002417089937358159,0.0,0.11453972653658219,0
48,0.46877791757723436,0.32,0.3922546523598212,0
49,0.007061523696456193,0.16666666666666666,0.30264839498132273,0
50,0.38767573713770953,0.3076923076923077,0.3323282878466977,0
51,0.0004660146927448466,0.11538461538461539,0.1412452484635359,0
52,0.33199642300326343,0.1724137931034483,0.2973870960556976,0
53,0.5719555436446868,0.2608695652173913,0.3646987703517654,1
54,0.23393838692405527,0.22727272727272727,0.3305750580521295,1
